wallet,total_tx,avg_age,total_balance,chains_used,tier
0x468fd2e5b7769101a691efacd3e9793831c5ddaf,72,99.2,0.0001,4,Tier 3
0x6ae08c45c6c6368cbe772d84c162634517a08dd4,400,606.8,4.5562,4,Tier 2
0x0da46262fe8c5f0690704830e98d8f6825ddd953,151,221,0.0005,4,Tier 3
0xa0fc3290d0f08cd5541856be83e6bcb61ca2f97b,373,418.8,0.0029,4,Tier 3
0xa57a27175e54db16ddeb2cd096be25916698a911,216,259.6,0.0007,4,Tier 3
0x32262e24ae43a9b82304e751f273e072650a0d67,39,3,0.0199,3,Tier 3
0x5d49106c6393943b6a84eb8a09a79fc6898a4d1a,11,130.4,0.0492,4,Tier 3
0xc8094394a55928e41dc62c1504522ca99768e8a0,26,11.2,0.323,2,Tier 3
0xac0468a03b550ad43152dca2f87029f06c0b09e7,121,37.2,0.8325,4,Tier 3
0xf5fe41873f14d91fd6c266884b2520c27568dfda,300,272.4,0.7949,4,Tier 3
0x7193c50ea48020152a1f7fa9d69e8cdc132810af,55,72.2,0.055,4,Tier 3
0xc7a2641fd2b0db3bba423524e9072eaff70b503d,21,126.4,0.0001,3,Tier 3
0x33be4e487c318e10a787cd2e70e6dfeb44e8101c,379,411.2,0.013,4,Tier 3
0xdfcf51a953362a996bd5687f61d1834ee83a8857,375,176.4,0.0036,4,Tier 3
0xffc8e0886bc3b6eda0b5ff48d8a9194b57d20e49,31,109.8,0,4,Tier 3
0x80f8b2b79918ee1e70264619f7560f5ce3f92467,13,1.2,0.004,2,Tier 3
0x348b86ff16aff9886cc571da86dd44dd0a450b6d,0,0,0,0,Tier 3
0x6666da1d4acdc3b3aa0407434998c84cf4b65275,350,379,0.1105,4,Tier 3
0x2b5af6f41f6bd7efabb4aa6dd8af579efa17f090,306,564,0.0007,4,Tier 3
0x5b6d34583268bef1cf26fa833915e55487982b0e,109,416.4,0.0001,4,Tier 3
0x7a30b1c6d2bd093e0264d6e402121feeb605884f,336,318.6,0,4,Tier 3
0x616aec79964e47923496102f3c1dac2957e86d6f,379,517.4,0.0001,4,Tier 3
0x6aa7368909527648aeb9cfa6dae96b012d2c5a16,151,46.2,0.0561,4,Tier 3
0x58d89bb12bdcc2856870680d27d5db7c92184eac,240,144,0.0544,4,Tier 3
0xeb81f67a41e9aaa348f4ebb48496de186b2845ae,24,46.4,0.0641,4,Tier 3
0x85f54cc8d028a9f374c0d74862d9e1c35fcfa47f,4,6,0,1,Tier 3
0xb8aeb23a1209bf4a4f80dcb3f0b799a862d4f2f9,230,210.6,0.0157,3,Tier 3
0x80c2462e40056f60bf5801bc8364db13534bbf0c,206,239.6,0.0066,4,Tier 3
0x18e8432a516755777c95e5aabd2ec0a7e942f885,272,209.4,0.0205,4,Tier 3
0x61d60b232c05992b426539334f9dba3a19d5393a,149,200.4,15.7902,4,Tier 2
0x7179ae63b2492c07dc86f31fb24e6740f77edcc0,7,101.4,0,3,Tier 3
0x0ab59fec89315eceb5090657d3bdc69b4f8edce2,210,83.8,0.0007,4,Tier 3
0x4e01e5436405303b79893ef324a88d575033314a,107,12.6,0.0713,4,Tier 3
0xc844e8585520c96fa3767a725cfe93eff7097e7f,354,303.6,0.0002,4,Tier 3
0xfae0b3502f301bce86176d4b80d5748e0e76aa97,0,0,0,0,Tier 3
0x001ee91df5875dcffb2dd6ca1a9e80305538ac6b,12,17.8,0,3,Tier 3
0xfa5eff20f1f2af41fe816d23bb0c99f91e74cb68,16,130.2,0.0246,3,Tier 3
0x69a6154eaa74669074382575c0946a935959e4ad,270,194,0.0899,4,Tier 3
0x9fea3f0a23ed850c5d72baf411088969cc16272b,335,250,0.2548,4,Tier 3
0x60a16e11239b860fda4b5ad8abe3c5d202fa2b5e,24,83.6,5.9502,4,Tier 2
0xe5d3bb52d50028ab639e1078c767c3ee4ca3b9b3,5,15.4,0.2905,2,Tier 3
0xa9951bb89431af33d302b3dd4e9f470f34d6e4d2,398,212.6,0.1051,4,Tier 3
0x037f5100185ef1c27419d23c99e1012d9faf5369,160,176.6,0,4,Tier 3
0x5b608bd697adb5adfda71c1459a3ea3cf19ede65,135,31.2,0.0621,4,Tier 3
0x585ce5373ede5d93279b20ef3419483cd2f30cbd,2,33.2,0.0332,2,Tier 3
0x8206a30bc1180b61ccac9cfcc9262d477be2677e,39,30.2,0.0356,4,Tier 3
0x2bc82267d1fda11698cb606a310b5797dd10567a,27,99.4,0.0001,3,Tier 3
0x1a7a303b02d2dcedca0dd1773377c6b5c920da17,20,30,0.0001,4,Tier 3
0x5649515f15409aaeae71d3530d936f69a8aca5f7,186,54.2,0.324,4,Tier 3
0x28837b0f0007b148aec5057de1192330790a0d42,237,210.4,0.2087,4,Tier 3
0x171f36d6735e1b0b7a68aaf404d843599229197f,64,45.8,0,4,Tier 3
0x0d69bff474707582b519ca0af51dfc763a484c4e,0,0,0.0001,0,Tier 3
0x96bf8cd248d0c59647f09946db0002802de349b0,18,82.4,0.0008,3,Tier 3
0x2105d7182a2d7da8c519f82b4dc422c1d4578fdf,287,259.6,1.0299,4,Tier 3
0x5d428310549b89a590b85461f4625fc7b5426a41,200,122,0.0935,4,Tier 3
0xa6d72fc0426edeb587ecca1209888022ca4a87c6,189,29,3.2709,4,Tier 3
0x5b5661ca42661541f581763d6e0bd48253745978,16,57.6,0,3,Tier 3
0xb07d43bc985f9951af52bfc4aeb7c7c587193534,45,131.6,3.6126,4,Tier 2
0xbc7dba3885ad1a2f62c77e24ac985e9b7a5071ec,273,76,0.0495,4,Tier 3
0xe9d361c190366deb5854efefc9ba3ab41205b0ca,22,53.2,0.0097,3,Tier 3
0x68244f33b931a1542cfd484776a07feb07a4d463,18,83.4,0.0002,4,Tier 3
0x6d6cafa01c151d688d2ac1a9ba59d9c959d8fac5,21,83.4,0.0001,4,Tier 3
0x8a221b7082322bfc98f0e544cce7cb594102e2fe,16,83.8,0.0001,4,Tier 3
0xc4f96d69d08b4f9f1f744913a36a60270fb1dc86,21,82,0.0001,4,Tier 3
0xf646752c32cde8348cf7e214e75b09a00a6d035a,18,80.4,0.0001,4,Tier 3
0x3625a41d59c39e3c0a810218371e57e42cd82506,16,84,0.0001,4,Tier 3
0xbbbe5ea1681bc2cc784886f30302e4b58ae1723d,20,82.6,0.0037,4,Tier 3
0x255f73ce38a3f50d2a44c8d548ad76ba1ad61dcd,275,166.6,4.7186,4,Tier 2
0x3a4dc93661069629c3010df6c9aeb1be289482e8,339,428.6,0.2074,4,Tier 3
0x25b49481c263976d549deefeb037f2fbe2bf14cd,20,84,0.0002,4,Tier 3
0x26b856d48f2c5deed0251d88fd5457e17dd68925,20,84,0.0002,4,Tier 3
0x4ecd9bfce9e06718a31a80ce8b419a84e082b8ca,259,205.2,2.4386,4,Tier 2
0xebcbb57523f6aebd4edc7e4d811c0e7c709b589d,17,63.2,0.0001,4,Tier 3
0x22d0455480c87046ad9ad22870f4b3414bb76daf,17,66.6,0.0039,4,Tier 3
0x08b40dab0829a45750039a86726e4741c6d773a3,14,39,0,3,Tier 3
0xf6700dad2b401b226fd5d13a043b539dc25ac7f1,256,213.8,2.8535,4,Tier 2
0xb040e52262b4758ac54011a097b13821869c120f,98,25.4,7.8769,4,Tier 3
0xd38b2b933772612c4998554f9ccc0ba70a5c8b14,22,65.6,0,3,Tier 3
0xa1d22fbf102585592cb29231f239179dccc3a2b2,155,135.8,0.0085,4,Tier 3
0x38d3d05ffe36604b5c6ca020205feb04d091d1d3,87,50.2,0.0001,4,Tier 3
0xe143ae9bed9a23568068bc59a6f7f21a787b5553,0,0,0,0,Tier 3
0x1e22fe62ea23dd7efdc9f41f3e03e12caf9281a4,9,68.2,0,3,Tier 3
0x3bbb788e4693e5c5f8d4695284171df7f3f623c6,12,124.6,0.0039,4,Tier 3
0xa70acb9516bfda981833c5bd3fb99f55c581063c,92,133.2,0.0814,4,Tier 3
0x703479f276a27262587539a1ddeb62665d9cbdbd,144,89.4,0.0961,4,Tier 3
0xce0dd3a41ae9d39cb77838eead1b14a27b310be6,6,70.4,0,3,Tier 3
0xbd94ffac4e42ea08d56bc39976a8e0c75a1e2b31,5,71,0,3,Tier 3
0x33de876656e77941472b76c9914a274ea0f7915d,5,72.8,0,3,Tier 3
0x13730d2580cbd1582a6218bf31ec51f1ff8b06f5,5,129.2,0.0001,2,Tier 3
0x9e8bbf7f2cc9333a7c0a038a47086c3f1fd63744,156,17,0.0651,4,Tier 3
0x54b180729f1e97532418eca29dbbf71bd0fc25a8,11,116.8,0,3,Tier 3
0x2f65f7a04a22dbaf8126ba1ad12c821fbd5733ca,350,522.2,1.1853,4,Tier 3
0xb3a7d9b06e8a16062eb2e415d8311b1d0a94cfb0,8,61.6,0,3,Tier 3
0x2125e0ca5e3abe6b14f77bac498ecb17dbee193e,10,87.2,0.0001,3,Tier 3
0x21b16bda249d41bf34fb0de1ec58b92692970407,9,62.2,0,3,Tier 3
0xd41d50f018c51472cd800ff20a67f6feea63ba8f,5,70.2,0,3,Tier 3
0x7e3b8a198f30a347a59c3ec3e6e6cba48eaced6d,6,44.2,0,3,Tier 3
0x23252062baf17278f7cdd0dace8cafbaeae806d9,148,129.2,0.1006,4,Tier 3
0x993796b2e1f4ab58c37eafdb1cec448be6010101,1,1.8,0,1,Tier 3
0x7554a4b0a129ee082293e9153d3cab1886c1c33c,12,75.8,0,3,Tier 3
0x6e6d9fde26062e5d51665f682a435e52d52236d9,220,98.2,0.1702,4,Tier 3
0xe7c5670f7a2a6f5d6d376b5dbf5e01133a81c358,8,101.4,0.0001,4,Tier 3
0xcfa6716bf6a2e4e200c75afdfa81567dc797318e,3,70.4,0,3,Tier 3
0xb4d7936e0591d16b5472bc88cee270ea59208f97,151,78.6,0,3,Tier 3
0x963858fa3cdce52140592ab520473f12cbd5e34a,5,1,0,2,Tier 3
0x3dc79b363ca0594bddc122f8e97a64fe810f3e52,9,147.4,0,4,Tier 3
0x7030fee7f36a05e121c77285785b926ae3e67bfa,9,50.8,0,2,Tier 3
0xf3ec79dcf1130029b2198c08ec4b2043e284e5f9,0,0,0,0,Tier 3
0xb5ed7553ca193aa48f402fee6298a4d629020202,1,1.8,0,1,Tier 3
0xfed9a483565013f9495bf30857376b1c848e8dd4,99,135.6,0.7391,4,Tier 3
0xd51bc14e2bd26d0657698fd5b51612db24e5e401,72,180.4,0.0004,4,Tier 3
0xf53dd43497597a500e41e5efd59a7c1aae030303,1,1.8,0,1,Tier 3
0x72a05660993d8945cf6069eaede70e8eec5c2810,7,116.8,0,3,Tier 3
0x7252eea132b59a91ff711c109e3d872bd67c9cc2,5,68.8,0,3,Tier 3
0x78325488356eb76776399494328468989333730b,64,58,0.0001,4,Tier 3
0x4141f8f5472678d3bc53ff3acc0db407308217db,6,39,0.0001,2,Tier 3
0x263aeed9ff6f32e357da0f5fec2d2235d42c1a3b,4,66.2,0,3,Tier 3
0x83806f6b984af8fd875a756a60e18d396592959d,7,62,0.0001,3,Tier 3
0xc7be4525862cacfeca65a489b98377b240b3aac8,329,531,0.0451,4,Tier 3
0xc95c252f0a3680c57b96ec45abdff654f08d9677,222,167.2,0.0001,4,Tier 3
0x33c47e4458d1ae44aa991e16cdde4726f560f519,5,66.2,0,3,Tier 3
0x20c24ee8ef98ff71845461406c727a2b3d528e98,4,66.2,0,3,Tier 3
0x0990f564bbd22121dd8e3e4e75aab93d88fd59b6,4,86.4,0,3,Tier 3
0x1a9bc7f4e8c6f373d3c253267b910582f4ac5a10,3,52.8,0,2,Tier 3
0x0123f6336fb17f9867440b803d6535230b6809b0,4,48.6,0,2,Tier 3
0xa0eed7637fc4d8c076f7d8f1c8ff1e9b84f5fd6a,2,59,0,2,Tier 3
0xc17e756e5a9dce50195ee3461f9bfc553a3c0613,0,0,0,0,Tier 3
0x92680d8671514e0ccc44a7256d7618944605f9f4,282,33.4,0.3312,4,Tier 3
0xec30d863da5c520c60ffd255fb2022449aa710d4,5,79,0.0001,3,Tier 3
0xf213cee2c356e9666c1fa2f33a6bd2afd406a993,66,91.6,0.157,4,Tier 3
0x9d2d062629f1b827ee2359bfa7c3e3bfeed0aa75,3,92.6,0.0001,3,Tier 3
0x00760a84171531fe8593f06da448a63edcf6b8ec,2,59.4,0.0001,2,Tier 3
0x45b4d054b3131d349bea2ddc1dee6bd20c59e622,3,72.8,0,3,Tier 3
0xdfee750b826ec34d7ef7224219dc984fcf73d9da,7,43.2,0.034,2,Tier 3
0x52faaa84ad89f54d7203f85282a0447edfd06997,4,72.8,0.0002,3,Tier 3
0xecaf5df001831faca322e4d5578617de254b65af,2,56,0.0002,2,Tier 3
0x2f05a86f4b08c90a25b6a9103e5155a3b448bce9,4,82.6,0.0002,3,Tier 3
0x93fd5857218f30e92482022c8383ab200bc346e3,77,191.6,0.0045,4,Tier 3
0xfe4867eeb8ad8463475995c02f1846598bc5e2ae,2,55.8,0,2,Tier 3
0xa22e4f21f01977960b7408e2fcf629b11b0f76ee,3,72.4,0,3,Tier 3
0x69cf3b27299f4e24637ffc2a4e57df2dec2b43a8,4,72.2,0,3,Tier 3
0x29927f41bbebb92f129f80bf00d041a8534bd776,4,92.8,0,3,Tier 3
0x839cb6deb2799223573ef16aaad26518a112a2f2,3,72.6,0,3,Tier 3
0x504e9ca3460d8dafbed0e5a8dbd516dfc5cdbfde,4,72.8,0.0002,3,Tier 3
0x5b29b6ce402e7a1ebb814f5e901914b92a76650e,3,72.8,0,3,Tier 3
0x1594fb286266304154ee6d47f525884ea62eff4f,3,72.8,0,3,Tier 3
0xb57768600fc274f96da8b5ef9b1605fa3c1a0b94,2,58.8,0,2,Tier 3
0x60e3327637439193eee1ff41cebae94dc4c0d44e,2,59.4,0,2,Tier 3
0x4bd4b65a631516c240b85e907e0dfa5225c78f7e,31,114.8,0.0001,4,Tier 3
0xd42440b7e6f2f4a20f129b60829b3990b99a0a09,5,59.8,0.0002,3,Tier 3
0xd259188f71e7d5139cc0dd5e0dfc4b989626b210,5,66.4,0,3,Tier 3
0x31c9de5efe7627d6149f938feb4b3ea69ed1c780,5,62.2,0.0002,3,Tier 3
0xd3a6a38daaa9496768e90ca04430ec363ecf042f,5,59.6,0.0002,3,Tier 3
0x47a3f89af0358a9313e15475cf9d1f8b4118a432,4,72.8,0,3,Tier 3
0xd764434e86019a51fff974b966acbd92145e06e2,4,59.4,0.0002,3,Tier 3
0xce878cd2e6404cff5ce6e3254e034f2e4b11a149,7,60,0.0002,3,Tier 3
0x8762c15487eb70c2d6b6c88062bab80b2063d11f,3,3.4,0,1,Tier 3
0x6df4bf110c162ada3cee6d39fa4538c71bd6564b,3,58.8,0,2,Tier 3
0xb3ba6c322f513af709512b357ca9066333e0ce7c,288,212.2,0.9528,4,Tier 3
0x1dbe4b08753932761c62f31ed131516171e9c137,7,37,0,3,Tier 3
0x176991b61a0072d4ae861dd868e26ad23b1713c3,5,37,0.0002,3,Tier 3
0x3103f34e4e1d7d99c2a28a690884355bccc0eee8,5,57.2,0.0002,3,Tier 3
0x06a0974825c66d77b929f9173ce7e90d5e21f93f,5,62.2,0,3,Tier 3
0x28bfb1047e7e1a59fa057a24e4fd7c97b7f63ebc,4,72.8,0,3,Tier 3
0xa6c93b8dd25c12bf542325078868cd64037ef559,3,72.2,0,3,Tier 3
0x29f9e056d4ccf5e867e294eb86b043ba2526de91,2,59.4,0,2,Tier 3
0x8fd6fe8dff1e9e34b7ef5dfa05326549a3e386b4,3,59.2,0,2,Tier 3
0x344afaa1fb1f6e68d7899af5eda4aeec99acfd79,4,62.4,0.0002,3,Tier 3
0xa1e5f22a6f14d2ce5ef80f7f825caeac5d819bb0,5,62,0.0002,3,Tier 3
0xa7456862c296f2db94f16ea147d38eafdf532d02,237,178.2,0,4,Tier 3
0x21b1198a891e29badc5033843d914aef81288b9e,4,62.4,0.0002,3,Tier 3
0xca9431a69f85f6978f1d92f389508479db23e9a1,4,34.6,0.0001,3,Tier 3
0xf5789553957fed21106f0888f376241b551cb049,3,69.2,0,3,Tier 3
0xb1d915b5348ed88ea26f7ecc25c157f358249ffd,171,43.8,0.0718,4,Tier 3
0x329701e59aa20a165f161537b65ba433ea30e092,5,62.4,0.0001,3,Tier 3
0x78fe78661a9e3c3cf0525ff4e5cca8233221e027,4,36.8,0,3,Tier 3
0x34688ba1f351eaf4b1f0c3800f2b388c478f8da5,2,59.4,0,2,Tier 3
0xf0b0f85a7424a64cc063828550d7494b69762ac4,3,69.4,0,3,Tier 3
0x4a1cc17f53256e343ac1b527835128a210890fd0,2,59.4,0,2,Tier 3
0x983268304d0a3a7c737a82ac2f237a3a0d742fff,105,1.6,0.0001,3,Tier 3
0xb2722eb4457a4e2e227162ce7f89f154351a3b17,3,57.6,0,2,Tier 3
0x2c308a4f630ddc0c950eb01a0ffc50fea7f6ab03,5,62.2,0.0001,3,Tier 3
0xd98ca29b87e70f6616613b4d6c2df0342bc6517d,8,34,0.0001,3,Tier 3
0xbc0144c14f287cc600aa9e0527fd8a9b1a0eaeca,5,37.6,0.0001,3,Tier 3
0xdec146a46601bc589073e7faf866ef47deb46a67,10,31.4,0.0001,4,Tier 3
0x52cdf8a8956fe27bb8ec337dab9be9e9fa00b0c1,3,37,0,3,Tier 3
0xcf90d67444d594a57cb1099bcc736f75650e7471,2,28.2,0.0001,2,Tier 3
0xce3852ca60098b075d5f4fea96654439afe9b042,6,34.6,0.0001,3,Tier 3
0xa7a6475e10882a0c26031d5813c7e2bb0cb76909,0,0,0,0,Tier 3
0xb22b42c75237cd428ca9547a424e144b8ac86a77,105,203.2,0.0116,4,Tier 3
0x35884f9ab9c4ca87d25950d01ffbada1dff11bf8,4,37,0,3,Tier 3
0x54bf239f3496d4b91759f6cfb9d447ce33e4d3eb,6,62.2,0.0001,3,Tier 3
0xfb8edf4c0f6afa5f87e409bf3f60972b2ccc420d,3,72,0,3,Tier 3
0xdd6b619edad758951f94f0620f7c1ca53e088121,7,59.4,0.0001,3,Tier 3
0xde55eb1730f93a7c384e46d7711db4f5f6bf41ef,4,34,0,3,Tier 3
0x49ac34cf0b1432ba58061bfa6f7c8b5d016e0c81,9,5,0,2,Tier 3
0x50d3ae2a8e8d4f3f067126868a2e5e7d0c25b586,4,39,0.0001,3,Tier 3
0x9f39735bfbd989f62148e69591a36d9e482cf57c,5,14,0,2,Tier 3
0xc2e1ba918e7b0ff3f89c37992702b1bf7ce30546,232,194.6,0,4,Tier 3
0xa202569f6028a00308ce2a6713958094365fab9a,276,176.6,0.1943,4,Tier 3
0x58b72956e4de9e243c22f736196c1820724f0904,273,301.6,0.0012,4,Tier 3
0x696d74d49d48e97f2d577651b848b5f5074e0921,52,32,0.1477,4,Tier 3
0x5c1cc107f1937b05c9b21c643b89db0279330401,0,0,0,0,Tier 3
0x9c8b3c31a339c328b27047f5b7826fd41c0d6ee9,3,36.6,0,3,Tier 3
0x72a3c823b118f300c97c587e91e1be706d417dae,160,55,0.0578,4,Tier 3
0x005f717413070a4ee8134d3433524ded8ad658b1,163,294.4,0.0002,4,Tier 3
0x40e878024061a04d4f758254141307e9c65599d0,0,0,0.0001,0,Tier 3
0xeddfab2150dc3635018f9af3e61fb0c54b9c33d2,248,279.2,0.1634,4,Tier 3
0x3dd34bbc2785667f00a8853310ab4976d3fdda4b,123,35.6,0.0045,4,Tier 3
0x1a90e5d9ef4dc854191379ec32d9008e8707cccf,50,61,0.0151,4,Tier 3
0x2ab88241828c7b54216f6b53bce1d7f67e11f859,19,28.8,0.0986,2,Tier 3
0xef1a7f08bbb3f04602428ee4238a9d436c739cf0,2,58.8,0,2,Tier 3
0xbafd79824e0c8bdcf95c528625f755a354209bdc,73,33.4,0.2046,4,Tier 3
0x19001fe0e659c2065ebfe372da5ff2a782634d19,79,173,0.4721,4,Tier 3
0x03483f48a043df77373cd18fe9e80d38555dbd56,0,0,0,0,Tier 3
0x8d4e1f846f6057296a8363311de5afd05200fbaa,2,23.4,0,2,Tier 3
0x5eb812d2d3b4f224f865d8e6f0f15b42e9cf81ad,259,276.6,5.7318,4,Tier 2
0x9aaf81db3415b8865d314dc4bce0140faff35e9f,47,61,0.0107,4,Tier 3
0x93ffb8286dc35cbdd7ab26f50955ba0898a65697,75,61.2,0.0002,4,Tier 3
0x91d865ab9f3043080df69b85d274faf5bbb58c0f,93,118.8,1.002,4,Tier 3
0x0b9fab58dd287895ab9ee880255fb15542f4aa66,58,52.6,0.079,4,Tier 3
0x9c592942d04a1a798d1620e1f0a1c0b59508b68f,134,46.4,0.0005,4,Tier 3
0x1972f59a7562ee702d8057c4bd6ae35ab03f3e6d,58,144.8,0.0162,4,Tier 3
0xc5e57717c0901040b23327a2d412656f06c8e9d5,50,61.2,0.004,4,Tier 3
0x1c23fd234d52b40efd5237f38dea30d5722fe03b,2,23.6,0,2,Tier 3
0xdf418b85cab349e7291f262ad62be77ffda35802,300,182,0.0146,4,Tier 3
0x26f2667dcb9d2e2ef372fecb655379fd97b88830,45,18,0.0484,4,Tier 3
0x190208c093a815a59243d5114dd2c846b565ceca,121,154.4,0.0003,4,Tier 3
0x0973e9be5d58f15ba1851e3221b1985896fedc2b,40,59.6,0.2205,4,Tier 3
0x0b3fe52e01f6f154abe8608f7c995f27e61b85b2,50,84.2,0.7151,4,Tier 3
0xa6b3178361ab065f47e817cd2af71bacec6846a9,320,78.6,0.4488,4,Tier 3
0x26b000d7664de3a02d1ef441589a499c87e8653f,69,128.8,0.0002,4,Tier 3
0x4f9a99ea74e82fc6653833870b3fd62f30d6995b,176,55,0.7855,4,Tier 3
0x2f60cb17670a0e2985113108e9603dc131c64488,54,57.8,0.0014,4,Tier 3
0xdf38f6be3709ce6d26f2d6a2ebd870ecdcfded04,11,15.6,0.0004,2,Tier 3
0xd9ef054c85d919aff4dcd9d3381c989c9df4910a,21,31.2,0.0001,3,Tier 3
0x5c9945e722a229dbd603b5317c9078298854fcab,322,279,0.2101,4,Tier 3
0xda9eaa83851e1ba5762aafe949a1131289f78fef,11,38,0,3,Tier 3
0x29d9b3792e3d25372c44d4949796780ceaae0369,35,66.2,0.0137,4,Tier 3
0x1f721dc499b5b39c759a66bc8bad3d066de1a6f7,223,71.2,0.0346,4,Tier 3
0x05e2eff68a5f2065d40b600ca0e252def6475a59,93,75.2,0.0728,4,Tier 3
0xece7bb4075ab851f20d73d62d1730aa055bbf1a2,57,103,0.0001,4,Tier 3
0xfde81f48135f77458291a607e2aae7813c13b29c,140,17.4,0.0917,4,Tier 3
0x07e65aeb246d300663a87a4a4318f5e32c05eaa7,7,56.8,0,3,Tier 3
0xaff42bcd1d5e52bc277530e7767404417b4c9acb,79,75.2,0.0001,4,Tier 3
0x2af388fc0354d086da598016b503f288cb298f5b,0,0,0,0,Tier 3
0x2862e19d11f73378fa302cc9dbbb2d782ca9d2b2,9,19,0,2,Tier 3
0xe9ef57759ce3856f93299d88c64096619cac759d,86,88.6,0.0004,4,Tier 3
0xe98211822c4935c0c26b0e140e791d1bb21261f4,245,191.4,0.0007,4,Tier 3
0xcbd0ad0fddb4d0e0595e8b54866288e1e4e53d02,14,45.8,0.0884,3,Tier 3
